===== Sheet 1 : 肢体动作 =====
Row 1: A=一、肢体动作代表什么意思（50 条）
Row 3: A=肢体动作 | B=含义 | C=补充说明
Row 4: A=尾巴竖直、尾尖微微向前弯 | B=心情愉悦、友好问候、表示信任 | C=最经典的"欢迎回家"姿势，常伴随咕噜声与轻蹭
Row 5: A=尾巴大幅左右甩动（拍打地面） | B=烦躁、不耐烦、被打扰 | C=与狗不同，猫大幅甩尾不是开心，而是警告
Row 6: A=尾巴尖轻微抖动 | B=专注、好奇、轻度兴奋 | C=常见于观察窗外小鸟或刚听到动静
Row 7: A=尾巴下垂、夹在两腿间 | B=害怕、紧张、示弱、顺从 | C=伴随身体压低、耳朵后压
Row 8: A=尾巴膨大（炸毛）、呈刷状 | B=恐惧、防御、威吓 | C=让自己"变大"吓退对方
Row 9: A=尾巴贴地平伸、低摆 | B=专注跟踪猎物、捕猎前姿态 | C=准备扑击的前奏
Row 10: A=尾巴绕人或绕另一只猫 | B=亲昵、社交、表达占有 | C=猫与人之间常表现为用尾巴勾手臂
Row 11: A=缓慢眨眼（眯眼看你） | B=表达爱意与信任，又称"猫之吻" | C=可回以同样缓慢眨眼加深情感
Row 12: A=瞪大眼、瞳孔圆形扩大 | B=兴奋、紧张、恐惧，或光线暗 | C=玩逗猫棒时或遇威胁时常见
Row 13: A=瞳孔缩成细线 | B=光线强或情绪紧绷 | C=强光下正常；伴随炸毛=高度警戒
Row 14: A=对主人侧头 | B=好奇、试图判断声音来源 | C=在判断陌生声音时常见
Row 15: A=露出肚子（四脚朝天） | B=信任与放松，但通常不是邀请摸 | C=多数情况下摸肚子会被抓或咬
Row 16: A="面包蹲坐"（loaf，爪子藏在身体下） | B=放松、舒适、保温 | C=说明环境让猫有安全感
Row 17: A="夹紧"蹲坐（脚收身下） | B=紧张、寒冷或不适 | C=持续此姿势且不吃东西需排查健康
Row 18: A="猪猪趴"（sploct，后腿伸到身后） | B=放松 + 凉爽（肚皮贴地散热） | C=天热或极度放松时常见
Row 19: A=拱背、毛发直立 | B=恐惧、威胁、准备战斗 | C=常伴随哈气、嘶叫
Row 20: A=身体低贴地面、耳朵后压 | B=害怕、试图躲避 | C=是猫最常见的恐惧表现
Row 21: A=身体直立、尾巴笔直（"尾巴翘天"） | B=自信、放松、巡视领地 | C=对熟悉环境表达"这是我地盘"
Row 22: A=蹭你的腿/手/脸 | B=用脸颊腺体标记气味、宣示占有 | C=是在把它的气味和你混合在一起
Row 23: A=用头抵你的手/脸（headbutt） | B=亲昵、信任、社交标记 | C=是高浓度的爱意表达
Row 24: A=用下巴或脸颊蹭家具、墙角 | B=标记领地、留下气味 | C=可视作"签到"
Row 25: A=揉面/踩奶（踩踏柔软物体） | B=安心、放松、回忆起幼猫吮乳本能 | C=常见于毯子、被子、主人肚子
Row 26: A=轻咬（无力度） | B=亲昵、玩闹、不想被打扰 | C=称"爱咬"，属于社交行为
Row 27: A=用力咬（带嘶声） | B=警告、疼痛、防御 | C=绝对要停手，给它空间
Row 28: A=舔你的手/头发 | B=信任、表达爱意、帮你"清洁" | C=也是社交互惠
Row 29: A=互相梳毛（allogrooming） | B=亲昵、信任、群体归属 | C=关系好的猫之间常见
Row 30: A=耳朵朝前竖立 | B=警觉、好奇、放松 | C=最放松的姿态之一
Row 31: A=耳朵朝后压平（飞机耳） | B=紧张、不悦、警告或恐惧 | C=伴随哈气、低吼要远离
Row 32: A=耳朵朝两侧（"蝙蝠耳"） | B=集中听微弱声音、警戒 | C=也用于读取声源方向
Row 33: A=耳朵单侧前倾 | B=专注某一声源 | C=像在"调焦"
Row 34: A=耳朵不停转动 | B=持续监听、焦虑或兴趣 | C=新环境中很常见
Row 35: A=胡须向前突出、聚拢 | B=专注、好奇、捕猎评估 | C=如在研究新玩具或猎物
Row 36: A=胡须向后贴脸颊 | B=紧张、害怕、防御 | C=身体通常伴随压低
Row 37: A=胡须自然下垂 | B=放松、平静 | C=默认状态
Row 38: A=鼻吻碰触（两猫鼻对鼻） | B=友好问候、确认身份 | C=猫打招呼的第一动作
Row 39: A=鼻子微凉湿润 | B=健康 | C=猫鼻湿润是正常状态（短时间干燥也属正常）
Row 40: A=嘴微张、上唇后翻（Flehmen 反应） | B=嗅闻信息素、分析同类化学信号 | C=公猫闻到母猫尿液时常见
Row 41: A=张大嘴露出牙齿（无声张嘴） | B=嗅闻更强的信息素 | C=为"裂唇嗅反应"的加剧版
Row 42: A=打响鼻（短促喷气） | B=轻度警觉、试探、表示不满 | C=也可能是过敏或鼻腔异物
Row 43: A=缩成一团睡觉 | B=保温、防御、深度放松 | C=寒冷或陌生环境的默认睡姿
Row 44: A=侧躺、四肢伸展睡 | B=放松+散热、对环境高度信任 | C=夏天常在凉地板上这么睡
Row 45: A=仰躺睡觉 | B=极度放松、信任、舒适 | C=通常发生在熟悉的猫与主人身边
Row 46: A=半闭眼打盹（"禅坐"） | B=放松但保持警觉 | C=可随时起身的状态
Row 47: A=突然抽搐尾巴尖（睡眠中） | B=做梦 | C=猫也会做梦，常见轻微动作
Row 48: A=爪子轻轻压/踩你身上 | B=信任、做记号、寻求安慰 | C=亦称"踩奶"
